Parameter,Description,Type,Required
Age Plots,Age plot feature class,Feature Class or Feature Layer,required
Plot ID Field,Name of plot ID field,Field,required
Species Field,Name of tree species field,Field,required
DBH Field,Name of tree diameter field,Field,required
Height Field,Name of tree height field,Field,required
Year of Origin Field,Name of tree year of origin field,Field,required
Growth Rate Field,Name of tree growth rate field,Field,required
Misc Field,Name of miscellanious notes field,Field,optional
Crew Field,Name of crew field,Field,required
Date Field,Name of date field,Field,required
